TWT3,RHOB3,PWAVE3
-921.26,1.844900012,124.7873993
-921.78,1.831699967,125.9662018
-922.28,1.814700007,127.4792023
-922.78,1.839300036,125.2834015
-923.27,1.86590004,122.9163971
-923.77,1.930999994,117.1214981
-924.27,1.941200018,116.2209015
-924.77,1.988800049,111.9812012
-925.27,2.010299921,110.0627976
-925.76,2.147399902,97.86049652
-926.26,2.465699911,69.52600098
-926.77,2.288399935,85.30809784
-927.29,2.1401999,98.50669861
-927.81,1.979799986,112.7802963
-928.32,1.93780005,116.5192032
-928.82,1.990700007,111.8139038
-929.27,1.95510006,114.9774017
-929.72,1.886199951,121.1127014
-930.15,1.790400028,129.642807
-930.56,1.74240005,133.9156952
-930.89,1.804399967,128.3905029
-931.03,1.995300055,111.4000015
-931.3,2.10619998,101.5286026
-932.09,1.957599998,114.7558975
-933.01,1.994799972,111.4485016
-933.94,1.970399976,113.6158981
-934.85,2.031599999,108.1712036
-935.78,2.062799931,105.3907013
-936.75,2.1401999,98.49880219
-937.77,2.069299936,104.8159027
-938.82,2.082999945,103.5916977
-939.84,2.186100006,94.41490173
-940.74,2.114200115,100.8124008
-941.58,1.767699957,131.6575928
-942.51,1.900599957,119.834198
-943.41,1.977100015,113.0178986
-944.33,2.135900021,98.88690186
-945.21,2.160900116,96.66369629
-946.08,2.192399979,93.85510254
-946.9,2.14350009,98.207901
-947.76,2.107399941,101.419899
-948.61,2.045799971,106.9051971
-949.4,2.112499952,100.9638977
-950.24,2.062999964,105.3712997
-951.25,2.200000048,93.17849731
-951.85,2.164000034,96.38059998
-952.38,2.134900093,98.97530365
-952.81,2.166300058,96.1812973
-953.23,2.153000116,97.36129761
-953.64,1.947900057,115.6202011
-954.07,1.941499949,116.1901016
-954.52,2.114700079,100.7759018
-955,1.988899946,111.9732971
-955.45,1.988000035,112.0468979
-955.93,2.118099928,100.4692001
-956.33,2.108400106,101.3305969
-956.74,2.129400015,99.46640015
-957.18,2.004899979,110.5503998
-957.6,1.998600006,111.1044006
-958.02,2.062799931,105.3914032
-958.57,2.19659996,93.47979736
-959.11,2.076499939,104.1738968
-959.56,2.066200018,105.091301
-960.08,2.046299934,106.8640976
-960.6,2.094700098,102.5495987
-961.05,2.1171,100.5619965
-961.5,2.052599907,106.3035965
-961.96,2.108500004,101.3233032
-962.48,2.079400063,103.9176025
-963.01,2.082600117,103.6316986
-963.5,2.113800049,100.8544006
-963.92,2.008100033,110.2638016
-964.4,1.974900007,113.2180023
-964.89,2.072900057,104.4922028
-965.39,2.146800041,97.91339874
-965.87,2.273699999,86.61599731
-966.33,2.194000006,93.71080017
-966.82,2.083899975,103.512001
-967.29,2.142400026,98.30840302
-967.77,2.08920002,103.0418015
-968.25,2.073800087,104.4096985
-968.71,2.021800041,109.0409012
-969.24,1.952499986,115.2145996
-969.78,2.014400005,109.7043991
-970.26,2.105499983,101.5939026
-970.71,2.03640008,107.7412033
-971.08,2.161000013,96.64959717
-971.72,2.107800007,101.3842011
-972.66,1.920099974,118.096199
-973.57,2.011600018,109.9525986
-974.51,2.004400015,110.5926971
-975.46,2.137700081,98.72570038
-976.45,2.190599918,94.01689911
-977.47,2.162400007,96.52210236
-978.45,2.100300074,102.0542984
-979.39,2.052700043,106.2919998
-980.36,2.114599943,100.7845001
-981.26,2.157399893,96.97160339
-982.19,2.133300066,99.12010193
-983.23,2.121700048,100.1507034
-984.22,2.151499987,97.49780273
-985.21,2.154700041,97.21089935
-986.12,2.069099903,104.8358994
-987,2.075900078,104.228302
-987.9,2.133899927,99.06169891
-988.84,2.210400105,92.25450134
-989.8,2.131799936,99.25379944
-990.73,2.125999928,99.76629639
-991.65,2.22239995,91.18840027
-992.63,2.17140007,95.72779846
-993.61,2.122699976,100.0598984
-994.57,2.071099997,104.6533966
-995.53,1.975200057,113.1909027
-996.54,2.075799942,104.2332001
-997.55,2.103600025,101.7578964
-998.52,2.154099941,97.26200104
-999.45,2.102299929,101.8796997
-1000.42,2.097800016,102.2741013
-1001.4,2.104599953,101.6729965
-1002.32,2.157299995,96.97840118
-1003.27,2.196899891,93.4559021
-1004.25,2.177400112,95.1867981
-1005.26,2.099299908,102.1455994
-1006.33,2.024699926,108.7846985
-1007.33,2.153899908,97.28700256
-1008.32,2.208400011,92.42790222
-1009.29,2.129800081,99.43180084
-1010.28,2.067899942,104.9376984
-1011.25,2.126499891,99.72239685
-1011.79,2.159300089,96.79949951
-1012.26,2.137799978,98.71459961
-1012.71,2.138299942,98.6740036
-1013.18,2.113199949,100.9084015
-1013.69,2.047899962,106.7204971
-1014.24,2.150899887,97.55130005
-1014.72,2.179699898,94.98570252
-1015.16,2.153100014,97.35040283
