TWT,DEPTH1,CALI2,RHOB2,GR2,INDUCTION2,NPHI2,PWAVE2,,TWT3,RHOB3,PWAVE3
-1.57,12,,,,,,0,,-921.26,1.844900012,124.7873993
-2.67,13,,,,,,0,,-921.78,1.831699967,125.9662018
-3.77,14,,,,,,0,,-922.28,1.814700007,127.4792023
-4.86,15,,,,,,0,,-922.78,1.839300036,125.2834015
-5.96,16,,,,,,0,,-923.27,1.86590004,122.9163971
-7.05,17,,,,,,0,,-923.77,1.930999994,117.1214981
-8.15,18,,,,,,0,,-924.27,1.941200018,116.2209015
-9.25,19,,,,,,0,,-924.77,1.988800049,111.9812012
-10.34,20,,,,,,0,,-925.27,2.010299921,110.0627976
-11.44,21,,,,,,0,,-925.76,2.147399902,97.86049652
-12.54,22,,,,,,0,,-926.26,2.465699911,69.52600098
-13.63,23,,,,,,0,,-926.77,2.288399935,85.30809784
-14.73,24,,,,,,0,,-927.29,2.1401999,98.50669861
-15.83,25,,,,,,0,,-927.81,1.979799986,112.7802963
-16.92,26,,,,,,0,,-928.32,1.93780005,116.5192032
-18.02,27,,,,,,0,,-928.82,1.990700007,111.8139038
-19.11,28,,,,,,0,,-929.27,1.95510006,114.9774017
-20.21,29,,,,,,0,,-929.72,1.886199951,121.1127014
-21.31,30,,,,,,0,,-930.15,1.790400028,129.642807
-22.4,31,,,,,,0,,-930.56,1.74240005,133.9156952
-23.5,32,,,,,,0,,-930.89,1.804399967,128.3905029
-24.6,33,,,,,,0,,-931.03,1.995300055,111.4000015
-25.69,34,,,,,,0,,-931.3,2.10619998,101.5286026
-26.79,35,,,,,,0,,-932.09,1.957599998,114.7558975
-27.89,36,,,,,,0,,-933.01,1.994799972,111.4485016
-28.98,37,,,,,,0,,-933.94,1.970399976,113.6158981
-30.08,38,,,,,,0,,-934.85,2.031599999,108.1712036
-31.17,39,,,,,,0,,-935.78,2.062799931,105.3907013
-32.27,40,,,,,,0,,-936.75,2.1401999,98.49880219
-33.37,41,,,,,,0,,-937.77,2.069299936,104.8159027
-34.46,42,,,,,,0,,-938.82,2.082999945,103.5916977
-35.56,43,,,,,,0,,-939.84,2.186100006,94.41490173
-36.66,44,,,,,,0,,-940.74,2.114200115,100.8124008
-37.75,45,,,,,,0,,-941.58,1.767699957,131.6575928
-38.85,46,,,,,,0,,-942.51,1.900599957,119.834198
-39.95,47,,,,,,0,,-943.41,1.977100015,113.0178986
-41.04,48,,,,,,0,,-944.33,2.135900021,98.88690186
-42.14,49,,,,,,0,,-945.21,2.160900116,96.66369629
-43.23,50,,,,,,0,,-946.08,2.192399979,93.85510254
-44.33,51,,,,,,0,,-946.9,2.14350009,98.207901
-45.43,52,,,,,,0,,-947.76,2.107399941,101.419899
-46.52,53,,,,,,0,,-948.61,2.045799971,106.9051971
-47.62,54,,,,,,0,,-949.4,2.112499952,100.9638977
-48.72,55,,,,,,0,,-950.24,2.062999964,105.3712997
-49.81,56,,,,,,0,,-951.25,2.200000048,93.17849731
-50.91,57,,,,,,0,,-951.85,2.164000034,96.38059998
-52.01,58,,,,,,0,,-952.38,2.134900093,98.97530365
-53.1,59,,,,,,0,,-952.81,2.166300058,96.1812973
-54.2,60,,,,,,0,,-953.23,2.153000116,97.36129761
-55.3,61,,,,,,0,,-953.64,1.947900057,115.6202011
-56.39,62,,,,,,0,,-954.07,1.941499949,116.1901016
-57.49,63,,,,,,0,,-954.52,2.114700079,100.7759018
-58.58,64,,,,,,0,,-955,1.988899946,111.9732971
-59.68,65,,,,,,0,,-955.45,1.988000035,112.0468979
-60.78,66,,,,,,0,,-955.93,2.118099928,100.4692001
-61.87,67,,,,,,0,,-956.33,2.108400106,101.3305969
-62.97,68,,,,,,0,,-956.74,2.129400015,99.46640015
-64.07,69,,,,,,0,,-957.18,2.004899979,110.5503998
-65.16,70,,,,,,0,,-957.6,1.998600006,111.1044006
-66.26,71,,,,,,0,,-958.02,2.062799931,105.3914032
-67.36,72,,,,,,0,,-958.57,2.19659996,93.47979736
-68.45,73,,,,,,0,,-959.11,2.076499939,104.1738968
-69.55,74,,,,,,0,,-959.56,2.066200018,105.091301
-70.64,75,,,,,,0,,-960.08,2.046299934,106.8640976
-71.74,76,,,,,,0,,-960.6,2.094700098,102.5495987
-72.84,77,,,,,,0,,-961.05,2.1171,100.5619965
